State,Year,Consumption.Commercial.Coal,Consumption.Commercial.Solar,Consumption.Industrial.Coal,Consumption.Industrial.Solar
Alaska,1960,496,0,4980,0
Alaska,1961,496,0,9174,0
Alaska,1962,593,0,10696,0
Alaska,1963,393,0,9545,0
Alaska,1964,306,0,8989,0
Alaska,1965,280,0,6526,0
Alaska,1966,353,0,12860,0
Alaska,1967,322,0,15341,0
Alaska,1968,270,0,12791,0
Alaska,1969,261,0,9800,0
Alaska,1970,183,0,8476,0
Alaska,1971,184,0,9021,0
Alaska,1972,264,0,7984,0
Alaska,1973,157,0,8884,0
Alaska,1974,195,0,7560,0
Alaska,1975,205,0,10504,0
Alaska,1976,173,0,9070,0
Alaska,1977,176,0,5648,0
Alaska,1978,0,0,0,0
Alaska,1979,0,0,0,0
Alaska,1980,0,0,0,0
Alaska,1981,6114,0,0,0
Alaska,1982,6531,0,0,0
Alaska,1983,6158,0,0,0
Alaska,1984,6412,0,0,0
Alaska,1985,5386,0,0,0
Alaska,1986,6042,0,0,0
Alaska,1987,0,0,0,0
Alaska,1988,0,0,0,0
Alaska,1989,0,0,0,0
Alaska,1990,6241,0,0,0
Alaska,1991,6530,0,0,0
Alaska,1992,6665,0,0,0
Alaska,1993,7294,0,32,0
Alaska,1994,6977,0,82,0
Alaska,1995,7187,0,0,0
Alaska,1996,6593,0,39,0
Alaska,1997,7092,0,39,0
Alaska,1998,7411,0,20,0
Alaska,1999,7585,0,22,0
Alaska,2000,7262,0,13,0
Alaska,2001,6569,0,23,0
Alaska,2002,6464,0,15,0
Alaska,2003,6081,0,7,0
Alaska,2004,6980,0,15,0
Alaska,2005,7252,0,25,0
Alaska,2006,7920,0,33,0
Alaska,2007,6649,0,26,0
Alaska,2008,8527,0,2,0
Alaska,2009,8098,0,57,0
Alaska,2010,8533,0,57,0
Alaska,2011,9432,0,73,0
Alaska,2012,9201,0,19,0
Alaska,2013,8939,0,16,0
Alaska,2014,8316,0,17,0
Alaska,2015,8486,0,17,0
Alaska,2016,6952,5,17,0
Alaska,2017,7144,6,18,0
Alaska,2018,6931,9,17,0
Alaska,2019,6568,11,17,0
Alabama,1960,2801,0,209886,0
Alabama,1961,1930,0,176644,0
Alabama,1962,3106,0,185794,0
Alabama,1963,3273,0,178375,0
Alabama,1964,1522,0,201218,0
Alabama,1965,1051,0,231982,0
Alabama,1966,1100,0,242863,0
Alabama,1967,958,0,249499,0
Alabama,1968,1010,0,256648,0
Alabama,1969,1367,0,271960,0
Alabama,1970,1339,0,291403,0
Alabama,1971,1288,0,265723,0
Alabama,1972,1613,0,277519,0
Alabama,1973,1430,0,256588,0
Alabama,1974,577,0,242301,0
Alabama,1975,323,0,238820,0
Alabama,1976,202,0,218834,0
Alabama,1977,470,0,192946,0
Alabama,1978,3353,0,180998,0
Alabama,1979,2944,0,222376,0
Alabama,1980,4331,0,187039,0
Alabama,1981,1748,0,159772,0
Alabama,1982,2467,0,133437,0
Alabama,1983,2705,0,117927,0
Alabama,1984,2812,0,153205,0
Alabama,1985,2345,0,140403,0
Alabama,1986,2452,0,135380,0
Alabama,1987,2560,0,150217,0
Alabama,1988,2975,0,162301,0
Alabama,1989,1368,0,145941,0
Alabama,1990,2059,0,143304,0
Alabama,1991,336,0,145487,0
Alabama,1992,1759,0,165617,0
Alabama,1993,796,0,141575,0
Alabama,1994,221,0,146182,0
Alabama,1995,154,0,144087,0
Alabama,1996,954,0,150104,0
Alabama,1997,1596,0,146781,0
Alabama,1998,204,0,126661,0
Alabama,1999,524,0,121436,0
Alabama,2000,1194,0,116652,0
Alabama,2001,273,0,102061,0
Alabama,2002,81,0,92758,0
Alabama,2003,61,0,97821,0
Alabama,2004,10,0,100480,0
Alabama,2005,42,0,90442,0
Alabama,2006,570,0,85409,0
Alabama,2007,19,0,81440,0
Alabama,2008,0,0,80717,0
Alabama,2009,0,0,59617,0
Alabama,2010,0,3,68819,0
Alabama,2011,0,4,64979,0
Alabama,2012,0,9,72938,0
Alabama,2013,0,25,76426,0
Alabama,2014,0,26,87265,0
Alabama,2015,0,25,69477,1
Alabama,2016,0,48,64589,1
Alabama,2017,0,50,62825,1
Alabama,2018,0,67,59918,7
Alabama,2019,0,88,48785,9
Arkansas,1960,0,0,350,0
Arkansas,1961,0,0,274,0
Arkansas,1962,0,0,159,0
Arkansas,1963,0,0,134,0
Arkansas,1964,0,0,185,0
Arkansas,1965,0,0,163,0
Arkansas,1966,0,0,110,0
Arkansas,1967,0,0,104,0
Arkansas,1968,0,0,132,0
Arkansas,1969,0,0,0,0
Arkansas,1970,0,0,0,0
Arkansas,1971,0,0,50,0
Arkansas,1972,0,0,50,0
Arkansas,1973,0,0,2260,0
Arkansas,1974,0,0,2664,0
Arkansas,1975,0,0,862,0
Arkansas,1976,0,0,3578,0
Arkansas,1977,39,0,5189,0
Arkansas,1978,75,0,6619,0
Arkansas,1979,0,0,7328,0
Arkansas,1980,113,0,6336,0
Arkansas,1981,4,0,7694,0
Arkansas,1982,39,0,7504,0
Arkansas,1983,3,0,9335,0
Arkansas,1984,71,0,8528,0
Arkansas,1985,19,0,8084,0
Arkansas,1986,0,0,7726,0
Arkansas,1987,8,0,6737,0
Arkansas,1988,2,0,5770,0
Arkansas,1989,61,0,5974,0
Arkansas,1990,4,0,5839,0
Arkansas,1991,9,0,6839,0
Arkansas,1992,42,0,7076,0
Arkansas,1993,16,0,7748,0
Arkansas,1994,7,0,8599,0
Arkansas,1995,0,0,7784,0
Arkansas,1996,0,0,8356,0
Arkansas,1997,1,0,6980,0
Arkansas,1998,1,0,7004,0
Arkansas,1999,1,0,7927,0
Arkansas,2000,0,0,9616,0
Arkansas,2001,0,0,10901,0
Arkansas,2002,1,0,10457,0
Arkansas,2003,0,0,10126,0
Arkansas,2004,1,0,10126,0
Arkansas,2005,0,0,9275,0
Arkansas,2006,1,0,9084,0
Arkansas,2007,24,0,9778,0
Arkansas,2008,0,0,9567,0
Arkansas,2009,0,0,7429,0
Arkansas,2010,0,11,7272,0
Arkansas,2011,0,14,5576,0
Arkansas,2012,0,19,5154,0
Arkansas,2013,0,23,5065,0
Arkansas,2014,0,23,5461,0
Arkansas,2015,0,24,4672,0
Arkansas,2016,0,28,4827,0
Arkansas,2017,0,34,4684,0
Arkansas,2018,0,68,4065,10
Arkansas,2019,0,173,4045,30
Arizona,1960,0,0,206,0
Arizona,1961,0,0,210,0
Arizona,1962,0,0,225,0
Arizona,1963,0,0,160,0
Arizona,1964,0,0,113,0
Arizona,1965,0,0,92,0
Arizona,1966,0,0,47,0
Arizona,1967,0,0,22,0
Arizona,1968,0,0,22,0
Arizona,1969,0,0,44,0
Arizona,1970,0,0,109,0
Arizona,1971,0,0,193,0
Arizona,1972,0,0,278,0
Arizona,1973,0,0,235,0
Arizona,1974,0,0,222,0
Arizona,1975,0,0,2632,0
Arizona,1976,0,0,7305,0
Arizona,1977,0,0,17073,0
Arizona,1978,0,0,9159,0
Arizona,1979,0,0,37988,0
Arizona,1980,0,0,13100,0
Arizona,1981,0,0,24718,0
Arizona,1982,17,0,30807,0
Arizona,1983,0,0,30339,0
Arizona,1984,16,0,36634,0
Arizona,1985,15,0,38793,0
Arizona,1986,0,0,46275,0
Arizona,1987,2,0,13295,0
Arizona,1988,2,0,12290,0
Arizona,1989,0,1,14263,0
Arizona,1990,2,1,13251,0
Arizona,1991,5,1,13737,0
Arizona,1992,65,1,12831,0
Arizona,1993,17,1,13482,0
Arizona,1994,2,2,14656,0
Arizona,1995,96,2,13106,0
Arizona,1996,3,2,13367,0
Arizona,1997,3,2,13716,1
Arizona,1998,7,3,13427,1
Arizona,1999,1,3,13167,1
Arizona,2000,1,4,15958,1
Arizona,2001,11,4,14718,1
Arizona,2002,13,5,13988,1
Arizona,2003,13,6,15249,1
Arizona,2004,16,7,16194,2
Arizona,2005,24,11,15926,2
Arizona,2006,14,23,16315,2
Arizona,2007,13,33,15308,3
Arizona,2008,0,87,12929,8
Arizona,2009,0,174,8730,17
Arizona,2010,0,592,10772,69
Arizona,2011,0,2164,10021,298
Arizona,2012,0,3161,8709,489
Arizona,2013,0,4078,4318,659
Arizona,2014,0,4812,5189,793
Arizona,2015,0,4886,5434,1369
Arizona,2016,0,4552,4068,1573
Arizona,2017,0,6070,5283,153
Arizona,2018,0,6769,6534,218
Arizona,2019,0,6909,6557,123
California,1960,64,0,35160,0
California,1961,55,0,58714,0
California,1962,57,0,39389,0
California,1963,36,0,45876,0
California,1964,68,0,53370,0
California,1965,111,0,63237,0
California,1966,137,0,51052,0
California,1967,128,0,53530,0
California,1968,98,0,56671,0
California,1969,993,0,57683,0
California,1970,1055,0,59327,0
California,1971,35,0,50886,0
California,1972,48,0,47326,0
California,1973,0,0,66913,0
California,1974,20,0,60613,0
California,1975,0,0,56397,0
California,1976,0,0,66625,0
California,1977,0,0,75105,0
California,1978,68,0,67804,0
California,1979,67,0,68481,0
California,1980,73,0,66077,0
California,1981,38,0,78354,0
California,1982,39,0,69368,0
California,1983,39,0,31976,0
California,1984,637,0,36456,0
California,1985,974,0,44016,0
